Rank,"Name
Country/Region",Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,California Institute of TechnologyUnited States,95.2,95.6,97.6,99.8,97.8,64
2,University of OxfordUnited Kingdom,94.2,86.5,98.9,98.8,73.1,94.4
3,Stanford UniversityUnited States,93.9,92.5,96.2,99.9,63.3,76.3
4,University of CambridgeUnited Kingdom,92.8,88.2,96.7,97,55,91.5
5,Massachusetts Institute of TechnologyUnited States,92,89.4,88.6,99.7,95.4,84
6,Harvard UniversityUnited States,91.6,83.6,99,99.8,45.2,77.2
7,Princeton UniversityUnited States,90.1,85.1,91.9,99.3,52.1,78.5
8,Imperial College LondonUnited Kingdom,89.1,83.3,88.5,96.7,53.7,96
9,ETH ZurichSwitzerland,88.3,77,95,91.1,80,97.9
10,The University of ChicagoUnited States,87.9,85.7,88.9,99.2,36.6,65
11,Johns Hopkins UniversityUnited States,87.6,77.6,90.4,98.2,100,70
12,Yale UniversityUnited States,87.4,86.5,87.8,97.2,43.3,64.3
13,"University of California, BerkeleyUnited States",87.2,80.4,91.1,99.7,47.9,61.9
14,UCLUnited Kingdom,87.1,78.1,91,94.2,40.5,94.4
15,Columbia UniversityUnited States,86.1,85.9,82.2,98.1,-,73.5
16,"University of California, Los AngelesUnited States",85.8,80.8,88.6,98.5,47.9,56.4
17,University of PennsylvaniaUnited States,85.2,82,86.9,98.6,47.9,49.5
18,Cornell UniversityUnited States,84,77.9,86.1,97.2,33.7,63.9
19,University of TorontoCanada,83.9,75.9,89.3,90.9,49.1,77.8
20,Duke UniversityUnited States,82.7,76,78,99,100,56.5
21,University of Michigan-Ann ArborUnited States,82.4,76.8,85.2,94.4,56.3,53.7
22,Carnegie Mellon UniversityUnited States,82.3,67.4,88.8,99.1,57.5,57.1
23,London School of Economics and Political ScienceUnited Kingdom,81.3,69.8,80.6,94.3,32.2,93.6
24,University of EdinburghUnited Kingdom,80.3,68.6,77.2,96.3,36.1,89.8
25,Northwestern UniversityUnited States,79.5,69.8,78.4,96.5,81.2,53.9
26,"National University of SingaporeSingapore
Explore",79.2,71.7,84.5,79.4,49.8,96.2
27,King’s College LondonUnited Kingdom,78.2,64.5,75.8,93.8,40.1,93.8
28,Karolinska InstituteSweden,77.5,60.6,81.1,92.2,75.8,73.1
29,"LMU MunichGermany
Explore",77.3,70.5,77.4,85.7,100,62.8
30,New York UniversityUnited States,77.2,74.7,72.3,95.3,30.4,49.3
31,École Polytechnique Fédérale de LausanneSwitzerland,76.1,61.3,67.5,94.6,65.4,98.6
32,University of WashingtonUnited States,75.6,67.1,70,98.6,43.1,51.2
33,University of MelbourneAustralia,75.4,62,75.5,86.6,64.6,87.1
34,University of British ColumbiaCanada,75.3,60.2,73.2,91.5,42.6,90.5
35,"KU LeuvenBelgium
Explore",74.8,59.9,76.9,87.3,100,68.6
36,University of Illinois at Urbana-ChampaignUnited States,74.5,64.5,81.2,86.8,52.8,45.8
37,"Universität HeidelbergGermany
Explore",74.4,68.8,69.6,88.2,68.2,62.8
38,"McGill UniversityCanada
Explore",72.6,66.1,72.1,78.9,40.3,85.5
39,"University of California, San DiegoUnited States",72.2,56.9,69.8,98.7,56.7,42.9
39,"University of California, Santa BarbaraUnited States",72.2,52.6,66,99.2,90.4,61.5
41,Georgia Institute of TechnologyUnited States,72.1,57.8,72.7,86,73.7,71.5
42,Peking UniversityChina,72,77.8,72.4,69.1,100,49.2
43,The University of TokyoJapan,71.1,81.4,83,60.9,50.8,30.3
44,"University of California, DavisUnited States",71,60.1,72.7,84.3,57.3,58.4
44,"University of Hong KongHong Kong
Explore",71,64.6,72.8,70.1,53.7,99.5
46,University of Texas at AustinUnited States,70.3,59.3,69.7,92.2,63.1,31.7
47,Tsinghua UniversityChina,70,73.3,83,58.8,100,39.5
47,Wageningen University & ResearchNetherlands,70,52.6,66.9,87.8,100,70.3
49,Humboldt University of BerlinGermany,69.9,63.7,77,73.6,36.1,62.6
50,University of Wisconsin-MadisonUnited States,69.7,65.1,68.2,86.6,48.5,33
51,Brown UniversityUnited States,69.6,62.8,55.7,96.4,31.4,57.8
52,"Australian National UniversityAustralia
Explore",69.5,54.7,77.3,72.3,48,93.3
53,"Technical University of MunichGermany
Explore",69.4,61,66,80.1,99.2,63.8
54,École Normale SupérieureFrance,69,70.6,47.7,87.1,37.1,85.5
55,"Nanyang Technological University, SingaporeSingapore
Explore",68.2,48.4,61.3,85.6,99.9,94.6
56,"University of ManchesterUnited Kingdom
Explore",68.1,58.4,66,77.3,42,87
56,The University of SydneyAustralia,68.1,54.3,68.1,77.5,72.4,84.4
58,University of AmsterdamNetherlands,67.8,52.2,64.7,87.4,62.8,66.5
59,"The Hong Kong University of Science and TechnologyHong Kong
Explore",67.2,49.4,66.1,82.6,68.1,80.5
60,"The University of QueenslandAustralia
Explore",67,49.2,62.8,82.4,76.7,89.3
60,Washington University in St LouisUnited States,67,54.3,55.6,99.2,33.5,44.9
62,Utrecht UniversityNetherlands,66.6,48.1,64.3,88.1,89.1,55.8
